time, sw_id, port_id, q_id, q_len, port_len
1400000, 17, 5, 1, 0, 60
1400000, 17, 5, 2, 0, 60
1400000, 17, 5, 3, 60, 60
1400000, 17, 5, 4, 0, 60
1400000, 17, 5, 5, 0, 60
1400000, 17, 5, 6, 0, 60
1400000, 17, 5, 7, 0, 60
1400000, 18, 1, 0, 0, 20684
1400000, 18, 1, 1, 0, 20684
1400000, 18, 1, 2, 0, 20684
1400000, 18, 1, 3, 20684, 20684
1400000, 18, 1, 4, 0, 20684
1400000, 18, 1, 5, 0, 20684
1400000, 18, 1, 6, 0, 20684
1400000, 18, 1, 7, 0, 20684
1400000, 18, 2, 0, 0, 0
1400000, 18, 2, 1, 0, 0
1400000, 18, 2, 2, 0, 0
1400000, 18, 2, 3, 0, 0
1400000, 18, 2, 4, 0, 0
1400000, 18, 2, 5, 0, 0
1400000, 18, 2, 6, 0, 0
1400000, 18, 2, 7, 0, 0
1400000, 20, 1, 0, 0, 60
1400000, 20, 1, 1, 0, 60
1400000, 20, 1, 2, 0, 60
1400000, 20, 1, 3, 60, 60
1400000, 20, 1, 4, 0, 60
1400000, 20, 1, 5, 0, 60
1400000, 20, 1, 6, 0, 60
1400000, 20, 1, 7, 0, 60
1400000, 22, 1, 0, 0, 18224
1400000, 22, 1, 1, 0, 18224
1400000, 22, 1, 2, 0, 18224
1400000, 22, 1, 3, 18224, 18224
1400000, 22, 1, 4, 0, 18224
1400000, 22, 1, 5, 0, 18224
1400000, 22, 1, 6, 0, 18224
1400000, 22, 1, 7, 0, 18224
1400000, 22, 2, 0, 0, 18224
1400000, 22, 2, 1, 0, 18224
1400000, 22, 2, 2, 0, 18224
1400000, 22, 2, 3, 18224, 18224
1400000, 22, 2, 4, 0, 18224
1400000, 22, 2, 5, 0, 18224
1400000, 22, 2, 6, 0, 18224
1400000, 22, 2, 7, 0, 18224
1400000, 22, 51, 0, 0, 60
1400000, 22, 51, 1, 0, 60
1400000, 22, 51, 2, 0, 60
1400000, 22, 51, 3, 60, 60
1400000, 22, 51, 4, 0, 60
1400000, 22, 51, 5, 0, 60
1400000, 22, 51, 6, 0, 60
1400000, 22, 51, 7, 0, 60
1400000, 23, 2, 0, 0, 0
1400000, 23, 2, 1, 0, 0
1400000, 23, 2, 2, 0, 0
1400000, 23, 2, 3, 0, 0
1400000, 23, 2, 4, 0, 0
1400000, 23, 2, 5, 0, 0
1400000, 23, 2, 6, 0, 0
1400000, 23, 2, 7, 0, 0
1400000, 24, 2, 0, 0, 0
1400000, 24, 2, 1, 0, 0
1400000, 24, 2, 2, 0, 0
1400000, 24, 2, 3, 0, 0
1400000, 24, 2, 4, 0, 0
1400000, 24, 2, 5, 0, 0
1400000, 24, 2, 6, 0, 0
1400000, 24, 2, 7, 0, 0
1400000, 25, 1, 0, 0, 60
1400000, 25, 1, 1, 0, 60
1400000, 25, 1, 2, 0, 60
1400000, 25, 1, 3, 60, 60
1400000, 25, 1, 4, 0, 60
1400000, 25, 1, 5, 0, 60
1400000, 25, 1, 6, 0, 60
1400000, 25, 1, 7, 0, 60
1400000, 25, 2, 0, 0, 0
1400000, 25, 2, 1, 0, 0
1400000, 25, 2, 2, 0, 0
1400000, 25, 2, 3, 0, 0
1400000, 25, 2, 4, 0, 0
1400000, 25, 2, 5, 0, 0
1400000, 25, 2, 6, 0, 0
1400000, 25, 2, 7, 0, 0
1400000, 49, 7, 0, 0, 0
1400000, 49, 7, 1, 0, 0
1400000, 49, 7, 2, 0, 0
1400000, 49, 7, 3, 0, 0
1400000, 49, 7, 4, 0, 0
1400000, 49, 7, 5, 0, 0
1400000, 49, 7, 6, 0, 0
1400000, 49, 7, 7, 0, 0
1500000, 16, 2, 0, 0, 0
1500000, 16, 2, 1, 0, 0
1500000, 16, 2, 2, 0, 0
1500000, 16, 2, 3, 0, 0
1500000, 16, 2, 4, 0, 0
1500000, 16, 2, 5, 0, 0
1500000, 16, 2, 6, 0, 0
1500000, 16, 2, 7, 0, 0
1500000, 16, 3, 0, 0, 0
1500000, 16, 3, 1, 0, 0
1500000, 16, 3, 2, 0, 0
1500000, 16, 3, 3, 0, 0
1500000, 16, 3, 4, 0, 0
1500000, 16, 3, 5, 0, 0
1500000, 16, 3, 6, 0, 0
1500000, 16, 3, 7, 0, 0
1500000, 16, 5, 0, 0, 60
1500000, 16, 5, 1, 0, 60
1500000, 16, 5, 2, 0, 60
1500000, 16, 5, 3, 60, 60
1500000, 16, 5, 4, 0, 60
1500000, 16, 5, 5, 0, 60
1500000, 16, 5, 6, 0, 60
1500000, 16, 5, 7, 0, 60
1500000, 16, 6, 0, 0, 60
1500000, 16, 6, 1, 0, 60
1500000, 16, 6, 2, 0, 60
1500000, 16, 6, 3, 60, 60
1500000, 16, 6, 4, 0, 60
1500000, 16, 6, 5, 0, 60
1500000, 16, 6, 6, 0, 60
1500000, 16, 6, 7, 0, 60
1500000, 16, 7, 0, 0, 0
1500000, 16, 7, 1, 0, 0
1500000, 16, 7, 2, 0, 0
1500000, 16, 7, 3, 0, 0
1500000, 16, 7, 4, 0, 0
1500000, 16, 7, 5, 0, 0
1500000, 16, 7, 6, 0, 0
1500000, 16, 7, 7, 0, 0
1500000, 17, 4, 0, 0, 0
1500000, 17, 4, 1, 0, 0
1500000, 17, 4, 2, 0, 0
1500000, 17, 4, 3, 0, 0
1500000, 17, 4, 4, 0, 0
1500000, 17, 4, 5, 0, 0
1500000, 17, 4, 6, 0, 0
1500000, 17, 4, 7, 0, 0
1500000, 17, 5, 0, 0, 0
1500000, 17, 5, 1, 0, 0
1500000, 17, 5, 2, 0, 0
1500000, 17, 5, 3, 0, 0
1500000, 17, 5, 4, 0, 0
1500000, 17, 5, 5, 0, 0
1500000, 17, 5, 6, 0, 0
1500000, 17, 5, 7, 0, 0
1500000, 17, 7, 0, 0, 60
1500000, 17, 7, 1, 0, 60
1500000, 17, 7, 2, 0, 60
1500000, 17, 7, 3, 60, 60
1500000, 17, 7, 4, 0, 60
1500000, 17, 7, 5, 0, 60
1500000, 17, 7, 6, 0, 60
1500000, 17, 7, 7, 0, 60
1500000, 18, 1, 0, 0, 0
1500000, 18, 1, 1, 0, 0
1500000, 18, 1, 2, 0, 0
1500000, 18, 1, 3, 0, 0
1500000, 18, 1, 4, 0, 0
1500000, 18, 1, 5, 0, 0
1500000, 18, 1, 6, 0, 0
1500000, 18, 1, 7, 0, 0
1500000, 18, 2, 0, 0, 60
1500000, 18, 2, 1, 0, 60
1500000, 18, 2, 2, 0, 60
1500000, 18, 2, 3, 60, 60
1500000, 18, 2, 4, 0, 60
1500000, 18, 2, 5, 0, 60
1500000, 18, 2, 6, 0, 60
1500000, 18, 2, 7, 0, 60
1500000, 19, 1, 0, 0, 60
1500000, 19, 1, 1, 0, 60
1500000, 19, 1, 2, 0, 60
1500000, 19, 1, 3, 60, 60
1500000, 19, 1, 4, 0, 60
1500000, 19, 1, 5, 0, 60
1500000, 19, 1, 6, 0, 60
1500000, 19, 1, 7, 0, 60
1500000, 20, 1, 0, 0, 9112
1500000, 20, 1, 1, 0, 9112
1500000, 20, 1, 2, 0, 9112
1500000, 20, 1, 3, 9112, 9112
1500000, 20, 1, 4, 0, 9112
1500000, 20, 1, 5, 0, 9112
1500000, 20, 1, 6, 0, 9112
1500000, 20, 1, 7, 0, 9112
1500000, 20, 2, 0, 0, 60
1500000, 20, 2, 1, 0, 60
1500000, 20, 2, 2, 0, 60
1500000, 20, 2, 3, 60, 60
1500000, 20, 2, 4, 0, 60
1500000, 20, 2, 5, 0, 60
1500000, 20, 2, 6, 0, 60
1500000, 20, 2, 7, 0, 60
1500000, 21, 1, 0, 0, 9112
1500000, 21, 1, 1, 0, 9112
1500000, 21, 1, 2, 0, 9112
1500000, 21, 1, 3, 9112, 9112
1500000, 21, 1, 4, 0, 9112
1500000, 21, 1, 5, 0, 9112
1500000, 21, 1, 6, 0, 9112
1500000, 21, 1, 7, 0, 9112
1500000, 21, 2, 0, 0, 9052
1500000, 21, 2, 1, 0, 9052
1500000, 21, 2, 2, 0, 9052
1500000, 21, 2, 3, 9052, 9052
1500000, 21, 2, 4, 0, 9052
1500000, 21, 2, 5, 0, 9052
1500000, 21, 2, 6, 0, 9052
1500000, 21, 2, 7, 0, 9052
1500000, 22, 1, 0, 0, 0
1500000, 22, 1, 1, 0, 0
1500000, 22, 1, 2, 0, 0
1500000, 22, 1, 3, 0, 0
1500000, 22, 1, 4, 0, 0
1500000, 22, 1, 5, 0, 0
1500000, 22, 1, 6, 0, 0
1500000, 22, 1, 7, 0, 0
1500000, 22, 2, 0, 0, 0
1500000, 22, 2, 1, 0, 0
1500000, 22, 2, 2, 0, 0
1500000, 22, 2, 3, 0, 0
1500000, 22, 2, 4, 0, 0
1500000, 22, 2, 5, 0, 0
1500000, 22, 2, 6, 0, 0
1500000, 22, 2, 7, 0, 0
1500000, 22, 51, 0, 0, 0
1500000, 22, 51, 1, 0, 0
1500000, 22, 51, 2, 0, 0
1500000, 22, 51, 3, 0, 0
1500000, 22, 51, 4, 0, 0
1500000, 22, 51, 5, 0, 0
1500000, 22, 51, 6, 0, 0
1500000, 22, 51, 7, 0, 0
1500000, 24, 2, 0, 0, 60
1500000, 24, 2, 1, 0, 60
1500000, 24, 2, 2, 0, 60
1500000, 24, 2, 3, 60, 60
1500000, 24, 2, 4, 0, 60
1500000, 24, 2, 5, 0, 60
1500000, 24, 2, 6, 0, 60
1500000, 24, 2, 7, 0, 60
1500000, 25, 1, 0, 0, 0
1500000, 25, 1, 1, 0, 0
1500000, 25, 1, 2, 0, 0
1500000, 25, 1, 3, 0, 0
1500000, 25, 1, 4, 0, 0
1500000, 25, 1, 5, 0, 0
1500000, 25, 1, 6, 0, 0
1500000, 25, 1, 7, 0, 0
1500000, 25, 2, 0, 0, 60
1500000, 25, 2, 1, 0, 60
1500000, 25, 2, 2, 0, 60
1500000, 25, 2, 3, 60, 60
1500000, 25, 2, 4, 0, 60
1500000, 25, 2, 5, 0, 60
1500000, 25, 2, 6, 0, 60
1500000, 25, 2, 7, 0, 60
1500000, 52, 8, 0, 0, 60
1500000, 52, 8, 1, 0, 60
1500000, 52, 8, 2, 0, 60
1500000, 52, 8, 3, 60, 60
1500000, 52, 8, 4, 0, 60
1500000, 52, 8, 5, 0, 60
1500000, 52, 8, 6, 0, 60
1500000, 52, 8, 7, 0, 60
1600000, 16, 2, 0, 0, 60
1600000, 16, 2, 1, 0, 60
1600000, 16, 2, 2, 0, 60
1600000, 16, 2, 3, 60, 60
1600000, 16, 2, 4, 0, 60
1600000, 16, 2, 5, 0, 60
1600000, 16, 2, 6, 0, 60
1600000, 16, 2, 7, 0, 60
1600000, 16, 3, 0, 0, 60
1600000, 16, 3, 1, 0, 60
1600000, 16, 3, 2, 0, 60
1600000, 16, 3, 3, 60, 60
1600000, 16, 3, 4, 0, 60
1600000, 16, 3, 5, 0, 60
1600000, 16, 3, 6, 0, 60
1600000, 16, 3, 7, 0, 60
1600000, 16, 5, 0, 0, 0
1600000, 16, 5, 1, 0, 0
1600000, 16, 5, 2, 0, 0
1600000, 16, 5, 3, 0, 0
1600000, 16, 5, 4, 0, 0
1600000, 16, 5, 5, 0, 0
1600000, 16, 5, 6, 0, 0
1600000, 16, 5, 7, 0, 0
1600000, 17, 1, 0, 0, 60
1600000, 17, 1, 1, 0, 60
1600000, 17, 1, 2, 0, 60
1600000, 17, 1, 3, 60, 60
1600000, 17, 1, 4, 0, 60
1600000, 17, 1, 5, 0, 60
1600000, 17, 1, 6, 0, 60
1600000, 17, 1, 7, 0, 60
1600000, 17, 4, 0, 0, 60
1600000, 17, 4, 1, 0, 60
1600000, 17, 4, 2, 0, 60
1600000, 17, 4, 3, 60, 60
1600000, 17, 4, 4, 0, 60
1600000, 17, 4, 5, 0, 60
1600000, 17, 4, 6, 0, 60
1600000, 17, 4, 7, 0, 60
1600000, 17, 7, 0, 0, 0
1600000, 17, 7, 1, 0, 0
1600000, 17, 7, 2, 0, 0
1600000, 17, 7, 3, 0, 0
1600000, 17, 7, 4, 0, 0
1600000, 17, 7, 5, 0, 0
1600000, 17, 7, 6, 0, 0
1600000, 17, 7, 7, 0, 0
1600000, 17, 8, 0, 0, 60
1600000, 17, 8, 1, 0, 60
1600000, 17, 8, 2, 0, 60
1600000, 17, 8, 3, 60, 60
