time, src, dst, sport, dport, size, curr_rate
1300000, 2, 3, 10217, 100, 524288, 2880000000000
1300000, 2, 3, 10220, 100, 524288, 2880000000000
1300000, 3, 4, 10223, 100, 524288, 2880000000000
1300000, 3, 4, 10222, 100, 524288, 2880000000000
1300000, 3, 4, 10221, 100, 524288, 2880000000000
1300000, 3, 12, 10031, 100, 524288, 400000000000
1300000, 3, 4, 10219, 100, 524288, 2880000000000
1300000, 3, 4, 10218, 100, 524288, 2880000000000
1300000, 3, 4, 10217, 100, 524288, 2880000000000
1300000, 3, 4, 10220, 100, 524288, 2880000000000
1300000, 4, 5, 10223, 100, 524288, 2880000000000
1300000, 4, 13, 10031, 100, 524288, 400000000000
1300000, 5, 14, 10031, 100, 524288, 400000000000
1300000, 6, 7, 10223, 100, 524288, 2880000000000
1300000, 6, 7, 10222, 100, 524288, 2880000000000
1300000, 6, 15, 10031, 100, 524288, 400000000000
1300000, 6, 7, 10221, 100, 524288, 2880000000000
1300000, 6, 7, 10219, 100, 524288, 2880000000000
1300000, 6, 7, 10218, 100, 524288, 2880000000000
1300000, 6, 7, 10217, 100, 524288, 2880000000000
1300000, 6, 7, 10220, 100, 524288, 2880000000000
1300000, 7, 0, 10217, 100, 524288, 2880000000000
1300000, 7, 0, 10223, 100, 524288, 2880000000000
1300000, 7, 0, 10222, 100, 524288, 2880000000000
1300000, 7, 0, 10219, 100, 524288, 2880000000000
1300000, 7, 0, 10218, 100, 524288, 2880000000000
1300000, 7, 0, 10221, 100, 524288, 2880000000000
1300000, 7, 8, 10031, 100, 524288, 400000000000
1300000, 7, 0, 10220, 100, 524288, 2880000000000
1300000, 8, 9, 10228, 100, 524288, 2880000000000
1300000, 8, 1, 10031, 100, 524288, 400000000000
1300000, 8, 1, 10032, 100, 524288, 400000000000
1300000, 8, 9, 10223, 100, 524288, 2880000000000
1300000, 8, 9, 10224, 100, 524288, 2880000000000
1300000, 8, 9, 10225, 100, 524288, 2880000000000
1300000, 8, 9, 10226, 100, 524288, 2880000000000
1300000, 8, 9, 10227, 100, 524288, 2880000000000
1300000, 9, 10, 10223, 100, 524288, 2880000000000
1300000, 9, 2, 10031, 100, 524288, 400000000000
1300000, 10, 11, 10223, 100, 524288, 2880000000000
1300000, 10, 11, 10222, 100, 524288, 2880000000000
1300000, 10, 11, 10221, 100, 524288, 2880000000000
1300000, 10, 11, 10220, 100, 524288, 2880000000000
1300000, 10, 11, 10219, 100, 524288, 2880000000000
1300000, 10, 3, 10031, 100, 524288, 400000000000
1300000, 10, 11, 10218, 100, 524288, 2880000000000
1300000, 10, 11, 10217, 100, 524288, 2880000000000
1300000, 11, 12, 10223, 100, 524288, 2880000000000
1300000, 11, 12, 10222, 100, 524288, 2880000000000
1300000, 11, 12, 10221, 100, 524288, 2880000000000
1300000, 11, 12, 10220, 100, 524288, 2880000000000
1300000, 11, 12, 10219, 100, 524288, 2880000000000
1300000, 11, 4, 10031, 100, 524288, 400000000000
1300000, 11, 12, 10218, 100, 524288, 2880000000000
1300000, 11, 12, 10217, 100, 524288, 2880000000000
1300000, 12, 5, 10031, 100, 524288, 400000000000
1300000, 13, 6, 10031, 100, 524288, 400000000000
1300000, 14, 7, 10032, 100, 524288, 400000000000
1300000, 14, 15, 10228, 100, 524288, 2880000000000
1300000, 14, 15, 10227, 100, 524288, 2880000000000
1300000, 14, 15, 10226, 100, 524288, 2880000000000
1300000, 14, 15, 10225, 100, 524288, 2880000000000
1300000, 14, 15, 10224, 100, 524288, 2880000000000
1300000, 14, 7, 10031, 100, 524288, 400000000000
1300000, 15, 8, 10228, 100, 524288, 2880000000000
1300000, 15, 8, 10227, 100, 524288, 2880000000000
1300000, 15, 8, 10226, 100, 524288, 2880000000000
1300000, 15, 8, 10225, 100, 524288, 2880000000000
1300000, 15, 8, 10224, 100, 524288, 2880000000000
1300000, 15, 0, 10032, 100, 524288, 400000000000
1300000, 15, 0, 10031, 100, 524288, 400000000000
1400000, 0, 1, 10277, 100, 524288, 2880000000000
1400000, 0, 1, 10276, 100, 524288, 2880000000000
1400000, 0, 9, 10039, 100, 524288, 400000000000
1400000, 1, 2, 10279, 100, 524288, 2880000000000
1400000, 1, 2, 10278, 100, 524288, 2880000000000
1400000, 1, 10, 10040, 100, 524288, 400000000000
1400000, 1, 10, 10039, 100, 524288, 400000000000
1400000, 2, 3, 10282, 100, 524288, 2880000000000
1400000, 2, 3, 10281, 100, 524288, 2880000000000
1400000, 2, 3, 10280, 100, 524288, 2880000000000
1400000, 2, 3, 10279, 100, 524288, 2880000000000
1400000, 2, 3, 10278, 100, 524288, 2880000000000
