time, node_id, port_id, bandwidth
600000, 85, 3, 0.072000
600000, 85, 4, 0.072000
600000, 85, 6, 10.548160
600000, 86, 3, 21.096320
600000, 86, 4, 10.548160
600000, 86, 7, 21.096320
600000, 86, 8, 0.072000
600000, 87, 2, 0.072000
600000, 87, 3, 0.072000
600000, 87, 5, 10.548160
600000, 87, 7, 10.620160
600000, 87, 8, 0.072000
600000, 88, 4, 0.038400
600000, 88, 5, 10.548160
600000, 88, 7, 10.548160
600000, 89, 6, 10.548160
700000, 0, 1, 1456.868160
700000, 0, 2, 204.617280
700000, 1, 1, 1484.467520
700000, 1, 2, 209.043840
700000, 2, 1, 1492.601280
700000, 2, 2, 212.360000
700000, 3, 1, 1489.424000
700000, 3, 2, 212.403200
700000, 4, 1, 1518.505280
700000, 4, 2, 212.336000
700000, 5, 1, 1471.735360
700000, 5, 2, 205.032320
700000, 6, 1, 1476.149440
700000, 6, 2, 222.850560
700000, 7, 1, 1465.244160
700000, 7, 2, 201.864640
700000, 8, 1, 1451.832640
700000, 8, 2, 205.399040
700000, 9, 1, 1508.112640
700000, 9, 2, 201.802240
700000, 10, 1, 1516.776640
700000, 10, 2, 212.360000
700000, 11, 1, 1510.997760
700000, 11, 2, 211.993280
700000, 12, 1, 1516.047680
700000, 12, 2, 212.412800
700000, 13, 1, 1488.467520
700000, 13, 2, 206.461440
700000, 14, 1, 1461.690560
700000, 14, 2, 212.297600
700000, 15, 1, 1470.603200
700000, 15, 2, 195.666240
700000, 16, 1, 1463.690240
700000, 16, 2, 1458.474880
700000, 16, 3, 1484.659520
700000, 16, 4, 1491.205760
700000, 16, 5, 1491.069120
700000, 16, 6, 1518.337280
700000, 16, 7, 1469.994240
700000, 16, 8, 1476.101440
700000, 17, 1, 1468.725760
700000, 17, 2, 1453.592960
700000, 17, 3, 1509.954560
700000, 17, 4, 1515.318720
700000, 17, 5, 1511.012160
700000, 17, 6, 1515.870080
700000, 17, 7, 1486.625600
700000, 17, 8, 1460.107840
700000, 18, 1, 191.292480
700000, 18, 2, 201.840640
700000, 18, 3, 10.620160
700000, 18, 5, 0.120000
700000, 18, 6, 10.548160
700000, 18, 10, 0.072000
700000, 18, 11, 12.140480
700000, 18, 13, 21.120320
700000, 18, 16, 10.548160
700000, 18, 17, 10.548160
700000, 18, 18, 10.548160
700000, 18, 20, 10.620160
700000, 18, 21, 11.996480
700000, 18, 23, 10.620160
700000, 18, 24, 0.072000
700000, 18, 25, 10.548160
700000, 18, 26, 10.620160
700000, 18, 27, 21.096320
700000, 18, 28, 10.548160
700000, 18, 29, 21.096320
700000, 18, 30, 0.144000
700000, 18, 31, 21.115520
700000, 18, 32, 0.072000
700000, 18, 35, 10.620160
700000, 18, 37, 0.144000
700000, 18, 39, 0.072000
700000, 18, 41, 10.548160
700000, 18, 42, 0.144000
700000, 18, 45, 21.096320
700000, 18, 46, 10.620160
700000, 18, 47, 10.620160
700000, 18, 48, 0.072000
700000, 18, 49, 0.288000
700000, 18, 50, 22.688640
700000, 18, 51, 10.548160
700000, 18, 52, 10.692160
700000, 18, 53, 21.168320
700000, 18, 54, 0.072000
700000, 18, 56, 10.692160
700000, 18, 58, 0.072000
700000, 18, 60, 21.096320
700000, 18, 61, 10.620160
700000, 18, 62, 10.548160
700000, 18, 63, 10.620160
700000, 19, 1, 201.855040
700000, 19, 2, 201.826240
700000, 19, 4, 0.072000
700000, 19, 5, 21.096320
700000, 19, 7, 10.548160
700000, 19, 9, 10.620160
700000, 19, 10, 0.072000
700000, 19, 11, 0.072000
700000, 19, 12, 10.620160
700000, 19, 14, 0.072000
700000, 19, 15, 10.692160
700000, 19, 16, 21.201920
700000, 19, 17, 0.144000
700000, 19, 18, 10.836160
700000, 19, 21, 0.072000
700000, 19, 22, 21.096320
700000, 19, 23, 0.144000
700000, 19, 24, 10.548160
700000, 19, 26, 10.548160
700000, 19, 28, 0.072000
700000, 19, 29, 10.548160
700000, 19, 30, 10.548160
700000, 19, 31, 0.072000
700000, 19, 32, 0.072000
700000, 19, 33, 10.548160
700000, 19, 35, 0.072000
700000, 19, 37, 10.548160
700000, 19, 38, 31.644480
700000, 19, 39, 0.072000
700000, 19, 40, 14.240960
700000, 19, 41, 10.620160
700000, 19, 42, 10.548160
700000, 19, 43, 21.096320
700000, 19, 44, 10.620160
700000, 19, 46, 1.448320
700000, 19, 47, 10.653760
700000, 19, 49, 10.692160
700000, 19, 50, 10.692160
700000, 19, 51, 0.072000
700000, 19, 52, 10.620160
700000, 19, 56, 10.548160
700000, 19, 57, 10.548160
700000, 19, 58, 10.548160
700000, 19, 61, 10.692160
700000, 19, 62, 10.548160
700000, 19, 63, 10.620160
700000, 19, 65, 21.168320
700000, 19, 66, 0.072000
700000, 20, 1, 202.998720
700000, 20, 2, 202.989120
700000, 20, 3, 0.072000
700000, 20, 4, 10.548160
700000, 20, 5, 0.072000
700000, 20, 8, 0.072000
700000, 20, 9, 10.620160
700000, 20, 10, 0.072000
700000, 20, 11, 10.620160
700000, 20, 12, 0.072000
700000, 20, 14, 10.548160
700000, 20, 15, 0.038400
700000, 20, 17, 0.144000
700000, 20, 18, 10.548160
700000, 20, 19, 10.620160
700000, 20, 20, 0.144000
700000, 20, 23, 10.548160
700000, 20, 24, 21.096320
700000, 20, 25, 10.548160
700000, 20, 26, 10.548160
700000, 20, 27, 0.072000
700000, 20, 29, 10.548160
700000, 20, 30, 10.548160
700000, 20, 31, 10.620160
700000, 20, 32, 10.548160
700000, 20, 33, 10.620160
700000, 20, 34, 10.548160
700000, 20, 35, 10.692160
700000, 20, 36, 0.072000
700000, 20, 40, 31.716480
700000, 20, 42, 0.072000
700000, 20, 43, 10.620160
700000, 20, 44, 10.548160
700000, 20, 45, 31.644480
700000, 20, 46, 0.072000
700000, 20, 47, 10.620160
700000, 20, 48, 10.548160
700000, 20, 49, 10.620160
700000, 20, 50, 21.096320
700000, 20, 51, 0.072000
700000, 20, 52, 10.620160
700000, 20, 53, 10.620160
700000, 20, 56, 21.240320
700000, 20, 57, 10.586560
700000, 20, 58, 10.620160
700000, 20, 59, 10.620160
700000, 20, 60, 0.144000
700000, 20, 62, 0.072000
700000, 20, 64, 10.620160
700000, 20, 65, 10.692160
700000, 20, 66, 0.072000
700000, 21, 1, 212.441600
700000, 21, 2, 212.331200
700000, 21, 3, 10.692160
700000, 21, 7, 0.072000
700000, 21, 8, 0.072000
700000, 21, 11, 21.168320
700000, 21, 15, 10.548160
700000, 21, 17, 10.620160
700000, 21, 18, 10.620160
700000, 21, 19, 0.072000
700000, 21, 20, 10.620160
700000, 21, 21, 21.312320
700000, 21, 22, 10.620160
700000, 21, 24, 10.620160
700000, 21, 25, 10.548160
700000, 21, 26, 18.513920
700000, 21, 27, 10.548160
700000, 21, 28, 10.620160
700000, 21, 29, 0.072000
700000, 21, 30, 10.548160
700000, 21, 31, 0.072000
700000, 21, 32, 10.620160
